"filename", "language", "CSS", "JSON", "JavaScript", "PHP", "XML", "Markdown", "SCSS", "JavaScript React", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.fillbetween.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 0, 0, 43, 41, 255
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.flatdata.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 17, 5, 48
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.hover.js", "JavaScript", 0, 0, 266, 0, 0, 0, 0, 0, 0, 34, 60, 360
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.image.js", "JavaScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 61, 33, 250
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.legend.js", "JavaScript", 0, 0, 370, 0, 0, 0, 0, 0, 0, 28, 40, 438
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.logaxis.js", "JavaScript", 0, 0, 210, 0, 0, 0, 0, 0, 0, 48, 41, 299
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.navigate.js", "JavaScript", 0, 0, 595, 0, 0, 0, 0, 0, 0, 120, 120, 835
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.pie.js", "JavaScript", 0, 0, 539, 0, 0, 0, 0, 0, 0, 128, 128, 795
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.resize.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 24, 10, 61
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.saturated.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 6, 44
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.selection.js", "JavaScript", 0, 0, 341, 0, 0, 0, 0, 0, 0, 110, 77, 528
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.stack.js", "JavaScript", 0, 0, 141, 0, 0, 0, 0, 0, 0, 47, 33, 221
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.symbol.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 21, 6, 99
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.threshold.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 45, 19, 144
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.time.js", "JavaScript", 0, 0, 458, 0, 0, 0, 0, 0, 0, 49, 81, 588
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.touch.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 0, 0, 1, 47, 321
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.touchNavigate.js", "JavaScript", 0, 0, 305, 0, 0, 0, 0, 0, 0, 5, 51, 361
"c:\laragon\www\ProyectoFinalSW1\vendor\almasaeed2010\adminlte\plugins\flot\plugins\jquery.flot.uiConstants.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\laragon\www\ProyectoFinalSW1\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"c:\laragon\www\ProyectoFinalSW1\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\ProyectoFinalSW1\vite.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"Total", "-", 62814, 10128, 36655, 6086, 9581, 45, 7, 25, 57, 13406, 24116, 162920
